2023-04-20 19:53:22.600 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@571db8b4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@65a2755e, org.springframework.security.web.context.SecurityContextHolderFilter@7ca0166c, org.springframework.security.web.header.HeaderWriterFilter@321b7b9e, org.springframework.security.web.authentication.logout.LogoutFilter@71469e01, top.flobby.security.filter.AuthenticationTokenFilter@6c6379c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@701c482e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4738131e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2b3242a5, org.springframework.security.web.session.SessionManagementFilter@6a116354, org.springframework.security.web.access.ExceptionTranslationFilter@25bc65ab, org.springframework.security.web.access.intercept.AuthorizationFilter@681b42d3]
2023-04-20 19:53:23.013 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-20 19:53:23.044 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-20 19:53:23.059 [main] INFO  top.flobby.SpringBootServerApplication - Started SpringBootServerApplication in 5.776 seconds (process running for 6.729)
2023-04-20 19:53:33.992 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-20 19:53:34.058 [main] INFO  top.flobby.SpringBootServerApplication - Starting SpringBootServerApplication using Java 17.0.1 with PID 28972 (E:\java-projects\backend-learning\admin-template\admin-server\target\classes started by Flobby in E:\java-projects\backend-learning\admin-template)
2023-04-20 19:53:34.060 [main] INFO  top.flobby.SpringBootServerApplication - The following 1 profile is active: "dev"
2023-04-20 19:53:35.595 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-20 19:53:35.600 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-20 19:53:35.648 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2023-04-20 19:53:36.729 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-20 19:53:36.740 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-20 19:53:36.741 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-20 19:53:36.742 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-20 19:53:36.846 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-20 19:53:36.846 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2710 ms
2023-04-20 19:53:40.099 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1174676f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@71f8ce0e, org.springframework.security.web.context.SecurityContextHolderFilter@25bc65ab, org.springframework.security.web.header.HeaderWriterFilter@5bc14211, org.springframework.security.web.authentication.logout.LogoutFilter@52d9f36b, top.flobby.security.filter.AuthenticationTokenFilter@141bb6b8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@321b7b9e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@21eedcde, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4fd92289, org.springframework.security.web.session.SessionManagementFilter@7aa63f50, org.springframework.security.web.access.ExceptionTranslationFilter@40aad17d, org.springframework.security.web.access.intercept.AuthorizationFilter@64508788]
2023-04-20 19:53:40.559 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-20 19:53:40.572 [main] INFO  top.flobby.SpringBootServerApplication - Started SpringBootServerApplication in 7.072 seconds (process running for 8.374)
